"id","label","desc","literature","wkt","certainty","certaintyinfo","relatedto","relatedtohow","source","sourcetype","spatialtype","methodtype","agent","methoddesc"
40,"Voscone Area","CI findspot related from literature","Rosi et al., 1999","POINT(14.5194 40.8005)","fsl:dubious","findspot mentioned in a scientific paper","http://wikidata.org/entity/Q1438;http://openstreetmap.org/relation/40218","fsl:partlyMatch","fsl:PaperDesc","fsl:Paper","fsl:UnknownCategory","fsl:Georeferencing","http://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps"
41,"Lake Ohrid (Albania)","CI findspot related from literature","Leicher et al., 2019, 2016","POINT(20.6749 40.9874)","fsl:high","findspot mentioned in a scientific paper","http://wikidata.org/entity/Q156258;https://www.openstreetmap.org/relation/2905270","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:Lake","fsl:Georeferencing","http://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps"
42,"Kozarnika Cave (Bulgaria)","CI findspot related from literature","Lowe et al., 2012","POINT(22.7024 43.6519)","fsl:high","findspot mentioned in a scientific paper","http://wikidata.org/entity/Q2037533;http://openstreetmap.org/node/8814442373","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:Cave","fsl:Georeferencing","http://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps"
43,"Temnata Cave (Bulgaria)","CI findspot related from literature","Fedele et al., 2008, 2003;Fitzsimmons et al., 2013;Giaccio et al., 2008","POINT(23.3848 43.0892)","fsl:high","findspot mentioned in a scientific paper","http://sws.geonames.org/726486;http://openstreetmap.org/node/369821847;http://wikidata.org/entity/Q12296153","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:Cave","fsl:Georeferencing","http://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps"
44,"Toplitsa Cave (Bulgaria)","CI findspot related from literature","Tsanova et al., 2021","POINT(24.0053 43.1907)","fsl:high","findspot mentioned in a scientific paper","http://wikidata.org/entity/Q61788595;http://openstreetmap.org/node/11109379095","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:Cave;fsl:ArchaeologicalSite","fsl:Georeferencing","http://orcid.org/0000-0002-3246-3531","set a representative point based on scientific papers using Tsanova et al., 2021, p.2"
45,"Franchthi Cave (Greece)","CI findspot related from literature","Fedele et al., 2003","POINT(23.1311 37.4226)","fsl:high","findspot mentioned in a scientific paper and found on OpenStreetMap","http://wikidata.org/entity/Q1441331;http://openstreetmap.org/node/1221172611","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:Cave;fsl:ArchaeologicalSite","fsl:Georeferencing","http://orcid.org/0000-0002-3246-3531","set a representative point based on scientific papers using OSM Node 1221172611"
46,"Klissoura (Greece)","CI findspot related from literature","Lowe et al., 2012","POINT(21.4672 40.5361)","fsl:medium","findspot mentioned in a scientific paper","http://wikidata.org/entity/Q21468911","fsl:spatialCloseMatch","fsl:PaperDesc","fsl:Paper","fsl:UnknownCategory","fsl:Georeferencing","http://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps"
47,"Tenaghi Philippon (Greece)","CI findspot related from literature","Lowe et al., 2012;Wulf et al., 2018","POINT(24.2274 40.9794)","fsl:low","findspot mentioned in a scientific paper","http://openstreetmap.org/node/299298568","fsl:dubiousMatch","fsl:PaperDesc","fsl:Paper","fsl:UnknownCategory","fsl:Georeferencing","http://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps"
48,"Susak Island (Greece)","CI findspot related from literature","Wacha, 2011","POINT(14.2921 44.5104)","fsl:medium","findspot mentioned in a scientific paper","http://sws.geonames.org/3189468;http://openstreetmap.org/relation/9854999","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:Island","fsl:Georeferencing","http://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps"
49,"Lake Ohrid (Macedonia)","CI findspot related from literature","Leicher et al., 2019; Leicher et al., 2016","POINT(20.7409 41.0467)","fsl:high","findspot mentioned in a scientific paper","http://wikidata.org/entity/Q156258;https://www.openstreetmap.org/relation/2905270","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:Lake","fsl:Georeferencing","http://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps"
50,"Golema Pesht Cave near Zdunje (Macedonia)","CI findspot related from literature","Lowe et al., 2012","POINT(21.1617 41.8117)","fsl:dubious","findspot mentioned in a scientific paper","http://wikidata.org/entity/Q20565511;http://openstreetmap.org/node/11107939919","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:Cave;fsl:ArchaeologicalSite","fsl:Georeferencing","http://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps"
51,"Crvena Stiljena (Montenegro)","CI findspot related from literature","Morley & Woodward, 2011","POINT(18.4815 42.7790) ","fsl:high","findspot mentioned in a scientific paper and found on OpenStreetMap","http://openstreetmap.org/node/10879170567;http://wikidata.org/entity/Q121418883","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:Cave;fsl:ArchaeologicalSite","fsl:Georeferencing","http://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using OSM Node 10879170567"
52,"Urluia (Romania)","CI findspot related from literature","Fitzsimmons et al., 2014;Fitzsimmons et al.,, 2013;Obreht et al., 2017;Pötter et al., 2021","POINT(27.9021 44.0947)","fsl:medium","Fitzsimmons et al. (2014), p.76: “In this paper we investigate [...] the site of Urluia Quarry on the Dobrogea loess plateau [...], some 15 km south of the Danube River. The site immediately overlies the Quaternary-uplifted Cretaceous-Tertiary-age limestone basement rocks (Munteanu et al., 2008), which were the target of earlier quarrying activities.”; Pötter et al. (2021), p.5: “The Urluia (URL) LPS is located in an abandoned limestone quarry on the limestone plateau of the Dobrogea (Fitzsimmons et al., 2013; Fitzsimmons and Hambach, 2014; Obreht et al., 2017).”","http://sws.geonames.org/664132;http://openstreetmap.org/way/84975654","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:InhabitedPlace","fsl:Georeferencing","http://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps"
53,"Dobrogea (Romania)","CI findspot related from literature","Fitzsimmons et al., 2014; Fitzsimmons et al.,2013","POINT(28.2329 43.9996)","fsl:representative","findspot mentioned in a scientific paper","https://sws.geonames.org/679193","fsl:spatialCloseMatch","fsl:PaperDesc","fsl:Paper","fsl:Plateau","fsl:Georeferencing","http://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps"
54,"Vlasca (Romania)","CI findspot related from literature","Obreht et al., 2017","POINT(27.8491 44.3921)","fsl:medium","findspot mentioned in a scientific paper","http://sws.geonames.org/662562","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:UnknownCategory","fsl:Georeferencing","http://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps"
55,"Lower Danube Basin (Romania)","CI findspot related from literature","Obreht et al., 2017","POINT(25.2920 43.6550)","fsl:low","findspot mentioned in a scientific paper","http://sws.geonames.org/791630","fsl:spatialCloseMatch","fsl:PaperDesc","fsl:Paper","fsl:Plateau","fsl:Georeferencing","http://orcid.org/0000-0002-3246-3531","set a representative point based on scientific papers using Google Maps and Obdreht et al (2017), Fig. 1"
56,"Bratul Borcea (Romania)","CI findspot related from literature","Pötter et al., 2021","POINT(27.3271 44.1891)","fsl:dubious","findspot mentioned in a scientific paper","https://sws.geonames.org/684225","fsl:dubiousMatch","fsl:PaperDesc","fsl:Paper","fsl:UnknownCategory","fsl:Georeferencing","http://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps"
57,"Balta Alba (Romania)","CI findspot related from literature","Pötter et al., 2021","POINT(27.2478 45.3037)","fsl:medium","findspot mentioned in a scientific paper","https://sws.geonames.org/685575","fsl:spatialCloseMatch","fsl:PaperDesc","fsl:Paper","fsl:UnknownCategory","fsl:Georeferencing","http://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps"
58,"Russian Plane","CI findspot related from literature","Fitzsimmons et al., 2013","POINT(45.0000 55.0000)","fsl:low","findspot mentioned in a scientific paper","https://sws.geonames.org/471525","fsl:spatialCloseMatch","fsl:PaperDesc","fsl:Paper","fsl:Plateau","fsl:Georeferencing","http://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps"
59,"Kostenki-Borshchevo (Russia)","CI findspot related from literature","Fedele et al., 2008;Giaccio et al., 2008","POINT(39.0517 51.3858)","fsl:representative","findspot mentioned in a scientific paper","https://en.wikipedia.org/wiki/Kostyonki%E2%80%93Borshchyovo","fsl:dubiousMatch","fsl:PaperDesc","fsl:Paper","fsl:ArchaeologicalSite","fsl:Georeferencing","http://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps"
60,"Kostenki (Russia)","CI findspot related from literature","Fedele et al., 2003","POINT(39.0473 51.3858) ","fsl:medium","findspot mentioned in a scientific paper","http://wikidata.org/entity/Q2070357","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:InhabitedPlace","fsl:Georeferencing","http://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps"
61,"Kisiljevo (Serbia)","CI findspot related from literature","Baykal et al., 2018","POINT(21.3912 44.7397)","fsl:medium","findspot mentioned in a scientific paper","https://sws.geonames.org/789504","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:UnknownCategory","fsl:Georeferencing","http://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps"
62,"Tabula Traiana (Serbia)","CI findspot related from literature","Boric et al., 2012;Lowe et al., 2012","POINT(22.3094 44.6568)","fsl:high","findspot mentioned in a scientific paper","http://wikidata.org/entity/Q2091689;https://www.openstreetmap.org/node/1918839400","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:ArchaeologicalSite","fsl:Georeferencing","http://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps"
63,"Titel Pleateau (Serbia)","CI findspot related from literature","Baykal et al., 2018","POINT(20.3026 45.2034)","fsl:low","findspot mentioned in a scientific paper","http://wikidata.org/entity/Q3391916","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:ArchaeologicalSite","fsl:Georeferencing","http://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps"
64,"Southern Ukraine","CI findspot related from literature","Fitzsimmons et al., 2013","POINT(31.8000 47.4300)","fsl:low","findspot mentioned in a scientific paper","http://wikidata.org/entity/Q2641546","fsl:dubiousMatch","fsl:PaperDesc","fsl:Paper","fsl:ModernRegion","fsl:Georeferencing","http://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps"
65,"Haua-Fteah (Libya)","CI findspot related from literature","Lowe et al., 2012","POINT(22.0516 32.9002)","fsl:high","findspot mentioned in a scientific paper","http://wikidata.org/entity/Q25226810;http://openstreetmap.org/node/7778324735","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:Cave;fsl:ArchaeologicalSite","fsl:Georeferencing","http://orcid.org/0000-0002-3246-3531","set a representative point based on scientific papers using OSM Node 7778324735"
101,"Orlovat","CI findspot related from literature","Obreht, I. et al. (2017), Fig. 1;Obreht, I. et al. (2015)","POINT(20.5809 45.2417)","fsl:medium","findspot mentioned in a scientific paper","https://sws.geonames.org/787391","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:UnknownCategory","fsl:Georeferencing","http://orcid.org/0000-0002-3246-3531","set a representative point based on scientific papers using GeoNamessGoogle Maps"
102,"Stalać","CI findspot related from literature","Obreht, I. et al. (2017), Fig. 1;Obreht, I. et al. (2016)","POINT(21.4058 43.6728)","fsl:medium","findspot mentioned in a scientific paper","https://sws.geonames.org/838724","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:UnknownCategory","fsl:Georeferencing","http://orcid.org/0000-0002-3246-3531","set a representative point based on scientific papers using GeoNamessGoogle Maps"
103,"Dunaszekcső","CI findspot related from literature","Obreht, I. et al. (2017), Fig. 1;Újvári, G. Et al. (2016)","POINT(18.7587 46.0874)","fsl:medium","findspot mentioned in a scientific paper","https://sws.geonames.org/3053454","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:UnknownCategory","fsl:Georeferencing","http://orcid.org/0000-0002-3246-3531","set a representative point based on scientific papers using GeoNamessGoogle Maps"
104,"Batajnica","CI findspot related from literature","Obreht, I. et al. (2017), Fig. 1;Buggle, B. et al. (2013);Buggle, B. et al. (2014)","POINT(20.2802 44.9032)","fsl:medium","findspot mentioned in a scientific paper","https://sws.geonames.org/792838","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:UnknownCategory","fsl:Georeferencing","http://orcid.org/0000-0002-3246-3531","set a representative point based on scientific papers using GeoNamessGoogle Maps"
105,"Rasova","CI findspot related from literature","Obreht, I. et al. (2017), Fig. 1;Zeeden, C. et al. (2018)","POINT(27.9347 44.2462)","fsl:medium","findspot mentioned in a scientific paper","https://sws.geonames.org/669148","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:UnknownCategory","fsl:Georeferencing","http://orcid.org/0000-0002-3246-3531","set a representative point based on scientific papers using GeoNamessGoogle Maps"
106,"Lake Prespa","CI findspot related from literature","Obreht, I. et al. (2017), Fig. 1;Panagiotopoulos, K. (2014)","POINT(21.0000 40.9167)","fsl:medium","findspot mentioned in a scientific paper","https://sws.geonames.org/786766","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:Lake","fsl:Georeferencing","http://orcid.org/0000-0002-3246-3531","set a representative point based on scientific papers using GeoNamessGoogle Maps"
